Total words: 25652
Unique words: 6342
Word frequencies:
debt.: 2
II.: 5
street.: 4
CAPULET,: 11
PARIS,: 4
Servant: 26
bound: 4
penalty: 1
alike;: 1
hard,: 1
think,: 2
PARIS: 28
honourable: 4
reckoning: 2
both;: 1
pity: 2
lived: 1
odds: 1
now,: 13
lord,: 9
suit?: 1
saying: 1
o'er: 8
said: 8
before:: 1
child: 5
yet: 33
stranger: 1
world;: 1
seen: 4
change: 4
fourteen: 2
years,: 3
summers: 1
wither: 1
pride,: 1
ripe: 1
bride.: 3
Younger: 1
than: 36
mothers: 1
made.: 2
marr'd: 1
earth: 6
swallow'd: 1
hopes: 1
she,: 6
hopeful: 1
lady: 21
earth:: 1
woo: 1
her,: 11
Paris,: 7
get: 10
consent: 5
part;: 2
agree,: 1
within: 10
scope: 1
choice: 1
Lies: 2
according: 1
voice.: 1
night: 27
hold: 6
accustom'd: 1
feast,: 3
Whereto: 1
invited: 1
guest,: 1
Such: 4
love;: 7
store,: 1
One: 10
welcome,: 2
number: 1
more.: 3
behold: 5
Earth-treading: 1
stars: 4
dark: 5
heaven: 20
light:: 3
comfort: 8
lusty: 2
young: 16
When: 13
well-apparell'd: 1
April: 1
heel: 1
limping: 1
winter: 1
treads,: 1
even: 9
delight: 2
Among: 2
female: 1
buds: 1
Inherit: 1
house;: 1
all,: 5
see,: 3
like: 32
be:: 2
May: 5
stand: 16
number,: 1
though: 9
none,: 2
Servant,: 1
paper: 1
Go,: 12
sirrah,: 3
trudge: 1
Through: 2
Verona;: 1
find: 20
persons: 2
names: 4
written: 3
there,: 7
say,: 11
welcome: 1
stay.: 2
Find: 3
here!: 3
written,: 2
shoemaker: 1
meddle: 1
yard,: 1
tailor: 2
last,: 1
fisher: 1
pencil,: 1
painter: 1
nets;: 1
sent: 2
writ,: 2
never: 17
writing: 1
person: 2
writ.: 2
learned.--In: 1
time.: 3
man,: 8
burns: 1
another's: 3
burning,: 1
lessen'd: 1
anguish;: 1
giddy,: 1
holp: 1
backward: 3
turning;: 1
desperate: 9
cures: 1
languish:: 1
Take: 8
infection: 1
eye,: 5
rank: 1
poison: 7
die.: 8
plaintain-leaf: 1
excellent: 1
that.: 2
what,: 7
pray: 10
broken: 1
shin.: 1
mad?: 2
mad,: 3
mad-man: 1
is;: 1
Shut: 1
prison,: 2
kept: 1
food,: 2
Whipp'd: 1
tormented: 1
and--God-den,: 1
fellow.: 2
God: 18
gi': 1
god-den.: 2
pray,: 5
read?: 1
fortune: 2
misery.: 1
Perhaps: 1
learned: 1
book:: 1
but,: 5
thing: 10
see?: 1
letters: 5
language.: 1
Ye: 1
honestly:: 1
merry!: 3
Stay,: 2
fellow;: 1
read.: 1
Reads: 1
'Signior: 1
Martino: 1
wife: 4
daughters;: 2
County: 8
Anselme: 1
beauteous: 2
sisters;: 1
widow: 1
Vitravio;: 1
Signior: 3
Placentio: 1
lovely: 2
nieces;: 1
Mercutio: 2
brother: 3
Valentine;: 1
uncle: 1
niece: 1
Rosaline;: 1
Livia;: 1
Valentio: 1
cousin: 5
Lucio: 1
lively: 1
Helena.': 1
assembly:: 1
whither: 1
come?: 1
Up.: 1
Whither?: 1
supper;: 1
house.: 8
house?: 1
master's.: 1
Indeed,: 2
ask'd: 1
before.: 2
Now: 12
asking:: 1
master: 8
great: 8
crush: 1
cup: 2
wine.: 1
Rest: 1
Exit: 29
same: 12
feast: 1
Capulet's: 11
Sups: 1
Rosaline: 1
whom: 5
lovest,: 1
admired: 1
beauties: 1
Verona:: 1
Go: 13
thither;: 1
and,: 15
unattainted: 1
Compare: 1
face: 6
show,: 1
swan: 1
crow.: 1
devout: 1
religion: 1
eye: 11
Maintains: 1
falsehood,: 1
fires;: 1
these,: 1
often: 2
drown'd: 1
die,: 7
Transparent: 1
heretics,: 1
burnt: 2
liars!: 1
fairer: 2
all-seeing: 1
Ne'er: 1
match: 1
since: 7
world: 8
begun.: 1
none: 8
Herself: 1
poised: 1
herself: 3
eye:: 1
crystal: 1
scales: 1
weigh'd: 1
lady's: 8
against: 9
shining: 1
scant: 1
best.: 3
along,: 2
sight: 3
shown,: 1
rejoice: 2
splendor: 1
III.: 5
room: 3
Nurse: 103
Nurse,: 6
where's: 3
daughter?: 1
Now,: 12
maidenhead,: 1
twelve: 2
year: 1
bade: 5
come.: 5
lamb!: 3
ladybird!: 1
forbid!: 1
Where's: 3
girl?: 2
Juliet!: 3
JULIET: 131
How: 24
now!: 3
calls?: 2
mother.: 1
here.: 4
will?: 2
matter:--Nurse,: 1
awhile,: 2
secret:--nurse,: 1
again;: 2
remember'd: 1
thou's: 1
counsel.: 1
know'st: 4
daughter's: 3
